line_item,FY2024,FY2025
revenue,8967405000,9645448000
ebitda,1659303000,1746739000
ebit,881998000,931374000
interest_expense,151347000,180509000
npat,511094000,513597000
cash,645001000,673773000
debtors,1362175000,1503362000
inventory,208834000,226976000
current_assets,2352995000,2605626000
current_liabilities,2322194000,2223402000
total_assets,14826474000,16053918000
total_debt,4515368000,5170810000
intangible_assets,9126264000,9766666000
share_capital,4140911000,4142012000
net_worth,7917623000,8323498000
operating_cash_flow,1071512000,1296790000
capex,579501000,462695000
dividends,499413000,514033000
scheduled_principal,297490000,80786000
lease_fixed_charges,389753000,412240000
tax_paid,329665000,170897000
